Date;Provenienza;Prezzo;Valutazione;Messaggio;Urgente
09/03/2026;TripAdvisor;142;4.8;Camera silenziosa, per favore.;True
04/03/2026;Booking;163;3.8;Avete un lettino per bambini?;False
13/03/2026;Agoda;125;4.2;Richiesta info sul parcheggio.;True
06/03/2026;WalkIn;156;4.0;Possiamo fare il check-in anticipato?;False
09/03/2026;Telefono;198;4.9;Servono due cuscini extra.;False
02/04/2026;Booking;106;4.0;Il Wi-Fi è gratuito?;False
04/03/2026;Booking;138;3.8;Serve una culla in camera.;False
25/03/2026;Direct;109;3.4;Servono due cuscini extra.;False
07/03/2026;Booking;184;4.2;Camera silenziosa, per favore.;False
03/04/2026;Direct;89;4.1;Il parcheggio è incluso?;False
19/03/2026;Email;243;3.9;Possiamo lasciare i bagagli dopo il check-out?;True
20/03/2026;Booking;97;3.2;Camera silenziosa, per favore.;False
09/03/2026;Booking;176;4.4;Avete servizio navetta?;False
08/03/2026;Telefono;140;5.0;Richiesta info sul parcheggio.;False
31/03/2026;WalkIn;150;4.4;Il parcheggio è incluso?;False
28/03/2026;Google Travel;225;4.1;Siamo arrivati e non troviamo l’ingresso.;False
09/03/2026;WalkIn;98;3.0;Avete un lettino per bambini?;False
20/03/2026;Direct;228;4.5;Il Wi-Fi è gratuito?;False
06/03/2026;Expedia;101;3.0;Servono due cuscini extra.;False
14/03/2026;Google Travel;206;3.6;Late check-in possibile?;False
